,titles,first_ps,authors,reply_lps,reply_qs,found_time,ltimes,year,fields
0,没想到，2年后，我还会重新打开这个账号。这段尘封我痛苦的记忆,没想到，2年后，我还会重新打开这个账号。这段尘封我痛苦的记忆。现在想想，当初去派出所报案，警察问我他有没有打我，要不要验伤，我说不用，真的好**。那段时间，为了小孩，我一直都承受着他带来了痛苦。只要他不打小孩，他对我怎么样我都可以忍着。那段时间，我深深地体会到为母则刚这四个字。虽然我记忆力不好，但我永远不会忘记，我和孩子匆匆逃离广州，急急忙忙在车站买最近一班的车票，跑去上车的情景，孩子他非常配合，帮忙,倾希之,报福有土鸡,2,2018/10/1,13:54,2020,7133185723
1,【记录】也许你只是想要有个人好好的陪你说说话,生而为人 本就有很多烦心事 但有些事你害怕说出来后那人保守不住秘密被身边人知晓 然后你的秘密就会大白于天下 被当成很多人茶余饭后的谈资 有些事你走不出又不想做困兽却无奈心里实在难受他人又无法理解 有些事有些话你想说却不知从何说起也不知应该向谁说 ... 其实每个人都或多或少有一些心理问题 但并不是每次心理难受到崩溃都是抑郁症 退一万步来说就算是抑郁症也不是什么绝症必死不可 有些事有些话说出来 说出来也许解决不了什么根,爱的名字...,爱的名字...,35,2020/12/9,13:37,2020,7113765873
2,大家好，关注家暴贴吧很久了，说说我自己的故事吧，我今年28，,大家好，关注家暴贴吧很久了，说说我自己的故事吧，我今年28，患病类风湿，是残疾人，因为家里不富裕，和患病初期对这个病，不了解，落下很严重的残疾，爸妈感情不和经常吵架，基本是我妈拍我身体不好，没有完整家不安全，才没有离婚，觉得我爸有人格障碍，对待外人都很有礼貌开朗，在自己家胡搅蛮缠，不讲道理，是他自己不讲理闹离婚，然后因为我妈娘家人，姥姥家一些亲戚，也都觉得他对我妈不好离就离没有理他，就非常记恨我妈娘,死宅小琪,野原向...,12,2020/11/26,1:44,2020,6033428284
3,家底180//200w,家底180//200w,散尽家财...,散尽家财...,0,2020/12/6,12月7日,2020,7135278972
4,我是男的，我老婆家暴,在这里我讲下我的故事： 从小，我就是一个乖乖孩，当然，也是一个独生子。 大学的时候有过一段初恋，但是因为第一次谈恋爱，自己不懂的控制脾气，毕业后不久就因为感情不和而分了(现在想想，那时候怎么就没多让让？) 后来在一家小公司，认识了我现在的老婆。那时候看她挺文静的，就主动追求了她，没多久就同居了(一开始没发现她性格多不好，只是觉得她有点死脑筋，现在回过头来想想，那就是偏执性人格)。我本来就是抱着结婚的目的去,一叶琉璃,Sunny晴,485,2019/2/1,12月5日,2020,6025420765
5,这就是我我妈妈在我小学的时候去世，妈妈很爱我，妈妈没死前就和,这就是我 我妈妈在我小学的时候去世，妈妈很爱我，妈妈没死前就和他关系不好，当时妈妈留给我的东西我一分钱没拿到，到现在也什么都没有。全部被"我爸"拿去了。记得还小的时候，大概是好几年前问过一次，我妈妈的东西怎么不给我？他说，他给我吃给我喝给我穿(一年一套衣服一双鞋子，我初中高中的鞋子都是穿臭的，每次没鞋子穿想让他买一双，太难求了，最后也还是买12块钱一双的假耐克) 本来我一个人的一间房间，硬是被多塞进了,A招主播,喵喵肉,116,2020/12/7,12月5日,2020,6531096419
6,我表达错了，应该是互殴算家暴吗？男朋友打我我也打他，我们家互,我表达错了，应该是互殴算家暴吗？男朋友打我我也打他，我们家互相打,我是一个...,匿名3425270,24,2019/2/1,12月4日,2020,6181630416
7,老公经常性言语辱骂，精神侮辱，算不算家暴,老公经常性言语辱骂，精神侮辱，算不算家暴,小口袋,1093626189,31,2020/3/6,12月3日,2020,6326239564
8,只有让自己强大起来 才能无惧任何风雨！,只有让自己强大起来 才能无惧任何风雨！,倔强的晨...,倔强的晨...,8,2019/7/1,12月3日,2020,6554998050
9,谈恋爱这样结婚后会发展成家暴吗,吵架会跪下自己扇自己脸，在一起两年，他喝多了会和人吵架，好几次差点和人打起来，我们吵架，他经常说你是要我死吗？要我下跪求你吗？有捶过墙。弄坏东西，我脾气也一般，刚在一起时有次我喝了酒醉了，我哭非往外面跑，他拉不住扇过我一巴掌，在起二年，他扇过我这次，后面就是他吵架时说话偏激，有次下跪扇自己，有次拿烟头烫自己。你们说这结婚会发展成家暴吗？能和他结婚吗,余懵懵,大阳光,11,2019/11/1,12月2日,2020,7093489566
