year,result
2009.0,成功失败失败失败失败
2010.0,成功失败失败失败失败失败成功失败成功
2011.0,失败失败成功失败成功失败成功失败失败失败成功成功失败失败成功失败
2012.0,成功失败失败失败失败成功失败失败失败失败成功失败成功失败失败成功成功失败成功失败失败失败失败失败
2013.0,成功失败失败成功成功失败成功成功成功成功成功成功失败成功失败失败失败成功成功失败成功成功成功失败失败失败失败失败成功成功失败失败失败失败成功成功失败失败失败失败失败失败失败成功失败成功成功成功失败失败成功成功失败成功失败失败失败失败失败失败失败成功失败失败成功失败成功
2014.0,失败失败成功失败成功失败成功失败成功成功成功失败成功失败成功成功失败成功失败失败成功失败失败成功失败失败失败成功成功失败失败失败失败失败成功失败成功失败成功失败失败失败失败成功失败失败失败成功成功失败失败失败失败失败失败成功失败成功成功成功成功失败成功成功成功失败成功失败成功失败成功失败失败失败失败失败失败失败失败失败成功失败成功失败失败失败失败失败失败失败成功失败成功失败失败失败失败失败失败成功成功失败失败成功失败失败成功成功失败失败失败失败成功失败失败失败成功失败失败失败成功成功失败失败失败成功成功成功失败成功成功失败成功失败成功失败成功失败失败失败失败成功失败失败失败成功失败失败失败成功失败失败失败失败失败失败成功成功成功成功成功失败成功成功失败成功失败失败失败失败成功成功成功成功成功失败成功失败失败失败成功失败成功成功失败失败失败成功失败成功失败成功成功成功失败失败失败失败失败失败失败失败失败失败失败失败成功成功失败失败成功成功失败成功成功成功失败失败失败成功失败失败失败失败失败失败失败失败成功失败成功成功成功失败成功失败成功失败失败成功成功失败失败失败失败失败失败成功失败失败失败成功成功失败成功失败成功失败成功失败失败失败成功失败失败成功失败失败失败失败成功成功成功失败失败成功成功失败失败成功失败失败失败失败成功失败失败成功成功失败失败失败失败成功成功失败失败失败失败失败成功成功失败失败成功失败失败失败失败成功成功失败成功失败失败失败成功成功失败失败成功成功成功失败成功失败失败成功失败失败失败失败
2015.0,失败失败失败失败失败失败成功失败失败失败成功成功失败成功失败失败失败失败失败失败成功失败成功成功成功成功失败失败成功失败成功失败成功失败失败失败失败失败成功失败成功失败成功成功失败成功失败失败失败失败成功成功成功成功成功成功成功失败成功成功失败失败失败失败失败成功成功成功失败失败失败成功成功失败失败成功失败失败成功成功成功失败失败失败失败失败成功成功失败失败失败失败成功失败失败成功失败成功失败失败成功成功失败成功失败失败失败成功失败成功成功失败成功失败成功失败失败成功失败成功成功失败失败成功失败失败失败失败失败成功失败失败失败失败失败成功成功成功失败失败失败失败失败失败失败失败失败成功失败失败成功成功失败失败失败失败失败失败失败失败失败失败失败成功成功失败成功失败失败成功成功失败成功失败失败失败失败失败失败成功失败成功失败失败失败失败失败成功失败成功成功成功失败失败失败失败成功失败失败失败失败成功失败失败失败成功失败成功失败成功失败成功成功失败失败成功成功失败成功失败成功失败失败成功失败成功成功成功失败失败失败失败失败成功失败失败成功成功成功成功失败失败失败失败失败成功成功成功成功失败失败失败失败失败失败失败成功失败成功失败失败失败成功失败成功失败失败失败失败失败成功失败失败失败失败失败失败失败失败失败失败失败失败失败成功失败失败失败成功失败失败失败成功成功失败失败成功失败成功失败成功失败失败成功失败失败失败失败失败成功成功失败成功失败成功成功失败成功成功失败失败失败成功失败成功失败失败失败失败成功失败成功成功失败成功失败失败失败失败成功成功成功成功成功失败成功成功失败成功失败成功成功失败失败失败失败成功成功成功成功失败失败失败成功失败成功失败失败成功失败成功失败失败失败成功失败失败成功成功失败失败成功失败失败成功失败失败失败失败成功失败成功失败失败成功成功失败失败失败成功失败失败成功成功失败失败失败失败失败失败失败失败失败失败失败失败成功成功成功成功失败失败成功失败成功失败成功成功成功失败失败失败失败失败失败成功成功失败成功失败失败失败成功失败失败失败失败成功成功失败成功成功成功失败成功成功失败失败成功成功失败成功成功失败失败成功成功成功成功成功成功成功失败失败失败失败成功成功成功失败失败成功失败成功失败失败失败失败失败失败成功成功成功失败失败失败失败成功失败成功成功成功失败失败失败成功失败失败成功
2016.0,成功成功成功成功成功成功失败失败失败失败失败失败成功失败失败成功成功失败失败成功成功失败失败成功成功成功失败失败成功失败成功失败失败成功失败成功失败失败失败失败失败失败成功失败失败成功成功失败成功失败失败成功成功成功失败成功失败失败成功失败成功失败失败失败失败失败成功失败成功失败成功失败失败成功成功失败成功失败失败成功失败成功失败失败失败成功失败失败失败成功失败失败失败成功失败失败失败成功失败成功失败失败失败成功失败失败成功失败失败成功失败失败成功失败失败成功失败成功成功失败失败失败失败成功成功失败失败失败失败失败失败失败失败成功失败失败失败失败成功失败失败失败失败失败成功失败成功成功成功成功成功成功失败失败失败成功失败失败失败失败失败失败失败失败失败失败成功失败失败失败失败失败失败成功失败成功成功失败成功成功失败成功失败失败成功成功失败成功失败成功成功失败失败成功失败失败失败成功失败失败失败失败成功成功成功失败失败成功失败失败失败失败成功成功失败失败成功成功失败失败成功失败失败失败失败失败失败失败成功失败失败失败失败成功成功失败失败成功失败失败成功成功失败失败失败失败成功失败失败失败失败失败失败失败失败失败失败失败成功成功成功失败成功失败失败成功失败成功失败失败失败失败失败失败失败失败成功失败失败失败成功失败失败成功失败失败成功失败失败失败成功成功成功失败失败失败失败失败成功失败成功失败失败成功失败失败成功成功失败成功成功失败失败成功失败失败失败成功成功失败失败失败成功失败成功失败失败失败失败成功失败失败失败失败成功成功失败失败失败失败失败失败失败成功失败失败失败成功成功失败失败失败失败成功失败失败成功失败失败失败失败失败成功失败失败失败失败失败失败成功失败失败成功失败成功成功失败失败成功成功成功失败成功失败失败失败失败失败失败失败成功失败失败失败失败失败失败成功失败成功失败成功成功失败成功失败成功失败成功成功失败失败成功失败失败成功成功成功失败失败成功失败失败失败失败失败成功失败成功失败失败失败失败失败失败成功成功成功成功失败失败失败失败失败成功失败成功失败成功失败失败失败失败失败失败失败失败成功成功失败失败失败失败失败成功成功成功成功失败成功成功失败失败失败失败成功失败失败成功成功失败失败失败失败失败失败失败失败失败失败成功失败失败成功失败失败成功失败成功失败成功成功成功成功失败成功失败成功失败失败成功失败失败失败成功失败成功失败失败成功成功失败失败成功失败失败失败成功失败成功失败失败失败失败失败失败成功失败成功失败失败失败失败成功失败失败失败失败成功成功成功成功失败失败失败成功失败失败
2017.0,失败失败失败失败成功失败成功失败成功成功失败失败成功失败失败失败失败成功失败失败失败失败失败失败成功失败成功成功失败失败失败失败成功失败失败成功失败失败失败成功成功失败失败失败失败成功失败成功失败失败失败成功失败失败失败成功失败成功失败失败失败失败失败失败失败失败失败失败成功成功失败失败失败失败成功失败成功失败失败成功失败失败失败失败成功失败成功失败失败成功失败失败成功成功成功成功失败成功失败失败成功失败失败成功失败失败失败失败失败成功失败成功失败失败失败失败成功失败成功失败成功成功成功成功成功成功失败失败失败成功失败失败失败失败失败失败失败成功失败失败成功失败失败失败失败失败失败失败
2018.0,失败失败成功成功失败失败成功成功失败成功失败失败失败成功失败失败失败失败失败失败失败失败失败成功失败失败失败失败失败失败成功失败失败失败失败失败成功失败失败失败成功成功成功失败成功失败失败成功成功失败失败成功成功成功成功成功失败成功失败失败失败成功失败失败失败失败失败失败成功成功失败失败失败失败失败成功成功失败失败失败成功失败失败失败成功失败失败失败失败失败失败失败成功成功成功成功成功成功成功失败失败失败失败失败失败成功失败成功失败失败失败
